scrape_time_utc,event_id,home_team,away_team,bookmaker,player,side,line,american_odds,implied_probability
2026-05-25T22:29:04.260140+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Mitchell Robinson,Under,3.5,-109,0.5215311004784688
2026-05-25T22:29:04.260144+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Dean Wade,Over,2.5,-141,0.5850622406639004
2026-05-25T22:29:04.260150+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Dean Wade,Under,2.5,110,0.47619047619047616
2026-05-25T22:29:04.260155+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Jose Alvarado,Over,1.5,-132,0.5689655172413793
2026-05-25T22:29:04.260190+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Jose Alvarado,Under,1.5,103,0.49261083743842365
2026-05-25T22:29:04.260198+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Dean Wade,Over,2.5,-130,0.5652173913043478
2026-05-25T22:29:04.260202+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Dean Wade,Under,2.5,102,0.49504950495049505
2026-05-25T22:29:04.260207+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Sam Merrill,Over,8.5,-113,0.5305164319248826
2026-05-25T22:29:04.260211+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Sam Merrill,Under,8.5,-113,0.5305164319248826
2026-05-25T22:29:04.260216+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Jaylon Tyson,Over,3.5,-128,0.5614035087719298
2026-05-25T22:29:04.260222+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Jaylon Tyson,Under,3.5,100,0.5
2026-05-25T22:29:04.260227+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Max Strus,Over,9.5,-128,0.5614035087719298
2026-05-25T22:29:04.260233+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Max Strus,Under,9.5,100,0.5
2026-05-25T22:29:04.260237+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Landry Shamet,Over,5.5,-122,0.5495495495495496
2026-05-25T22:29:04.260242+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Landry Shamet,Under,5.5,-104,0.5098039215686274
2026-05-25T22:29:04.260247+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,James Harden,Over,18.5,-108,0.5192307692307693
2026-05-25T22:29:04.260252+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,James Harden,Under,18.5,-118,0.5412844036697247
2026-05-25T22:29:04.260256+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Mikal Bridges,Over,14.5,-113,0.5305164319248826
