threshold,bet_side,n_bets,hit_rate,avg_return_per_bet,total_units,return_vol,per_bet_sharpe,max_drawdown_units,avg_abs_edge,avg_model_prob_over,avg_market_prob_over,avg_points_line,meets_min_bets,diagnostic_type,scoring_role,line_bucket,market_prob_bucket,abs_edge_bucket,minutes_bucket,contact_bucket,matchup_pts_bucket,matchup_contact_bucket
0.075,,125.0,0.544,0.015161783014319375,1.895222876789922,0.9343717871717534,0.016226713201832135,-7.759355452439603,0.10143984965735146,0.43087301443293974,0.4991239237772384,12.556,True,minutes,,,,,rotation_minutes,,,
0.075,,183.0,0.5409836065573771,0.012800314871321251,2.342457621451789,0.9363055585399253,0.013671087130233489,-10.797289531141224,0.11265605169889376,0.4163211835832915,0.49828868070599275,21.915300546448087,True,minutes,,,,,heavy_minutes,,,
0.05,,286.0,0.5384615384615384,0.011407931056331496,3.262668282110808,0.9387627456541181,0.012152091792247884,-11.316361332901842,0.10301291690825108,0.4142410237950101,0.4989016675893137,23.884615384615383,True,role,star,,,,,,,
0.025,,312.0,0.5384615384615384,0.0106977450094015,3.337696442933268,0.9379441853802779,0.01140552409849871,-16.330363458109943,0.08923769241880113,0.42231599000704806,0.4982513790990888,24.826923076923077,True,line,,star_line,,,,,,
0.05,,262.0,0.5381679389312977,0.008765095981872481,2.2964551472505903,0.9375634166749738,0.00934880331930772,-15.96121875270457,0.0799029838168419,0.45677682054187335,0.4995711521086313,11.400763358778626,True,minutes,,,,,rotation_minutes,,,
0.05,,254.0,0.5393700787401575,0.006517465803638866,1.6554363141242718,0.9333626885998003,0.0069827794524507415,-13.352768058537642,0.0761437957017618,0.47914322803593173,0.4999116564993679,11.464566929133857,True,contact,,,,,,"(0.0038900000000000002, 0.0619]",,
0.075,Under,473.0,0.5369978858350951,0.006445164683035545,3.048562895075813,0.9364246203151225,0.006882737321522623,-17.774542556832888,0.10882284123883657,0.38870878118377933,0.49753162242261595,18.872093023255815,True,side,,,,,,,,
0.05,,564.0,0.5425531914893617,0.003103744948914885,1.750512151187995,0.922603382326464,0.0033641161612570614,-19.30753777217444,0.08609145011140001,0.4241897393036344,0.48566539234848327,16.824468085106382,True,market_prob,,,market_slight_under,,,,,
0.1,,105.0,0.5333333333333333,0.002683795126563978,0.2817984882892177,0.9432219685349826,0.00284534840800248,-9.651863354037268,0.13192581895859648,0.4069360265762889,0.49921409835159747,22.919047619047618,True,minutes,,,,,heavy_minutes,,,
0.025,,435.0,0.5310344827586206,2.5688165031612598e-05,0.01117435178875148,0.9418582893724098,2.7273917235181357e-05,-16.41014244408232,0.06823383251711403,0.4524800604861109,0.4994030519564828,16.824137931034482,True,contact,,,,,,"(0.0936, 0.134]",,
